CellLine,IRS1,ABL2,NCK2,PIK3R1,PIK3R3,VAV2,PLCG2,SRC,STAT1,YES1,RASA1,PIK3R2,SHC1,SYK,BLK,CRKL,ITK,ZAP70
MELAN_UACC62,-1.1541229263281568e-25,0.0,0.0,0.0948919878193788,0.0,0.0,0.0,0.0,0.25456418467440917,0.6562943932360567,0.09396826757521945,0.0,0.0,0.0,0.0,0.0619912030802971,0.0,0.0
NSCLC_A549,-3.972583552541526e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4324813787779203,0.7928378683328832,0.0,0.0,1.3253224947245104e-24,0.0,0.0,0.0,0.0,0.0
NSCLC_EKVX,-3.9972186802856174e-26,0.0,0.0,0.010935531287204592,0.0,0.024847395602525316,0.0,0.0,0.2209895424141121,0.38818497835205945,0.06798919494159351,0.0,0.0,0.0,0.0,0.1407611055126266,0.0,0.0
NSCLC_H226,2.1303950464152598e-26,0.0,0.0,0.0,0.0,0.006947233478750845,0.0,0.0,0.5083696882021607,0.40442362223794737,0.10053998214733288,0.0,0.0,0.0,0.0,0.0,0.0,0.04058531432938555
NSCLC_H23,0.0,1.1351609480459148,0.0,0.0,0.0,0.0,0.0,1.4448536006752193,0.003575271086049291,0.08365758343241053,0.028634246866934502,0.0,6.47511244594193e-24,0.0,0.0,0.019963227411404456,0.0,0.0
NSCLC_H322M,2.3185398731856853e-25,0.0,0.0,0.0575964814655233,2.6092079899095205e-24,0.0,0.0,-3.4758309339432815e-25,0.13535905175408505,0.22898495713403105,0.0,0.0,0.0,0.0,0.0,0.025772620584415932,0.0,0.0
NSCLC_H460,0.0,0.0,0.0027611273504476704,0.027131146788669815,0.009900393034780554,0.04102940552968265,0.06450864499773802,0.011661277468183661,0.15479458918663067,0.001720427276422012,0.05050726882519244,0.014596322231066846,0.002621801026322755,0.00014805819906239028,0.0,0.027703985149979744,0.0,8.066517931958136e-05
NSCLC_HOP92.1,2.096899334439568e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20159141561154628,1.1764804648744092,0.0,0.033987416368710326,7.399980464388926e-26,0.0,0.0,0.05797102598612423,0.0,0.0
NSCLC_HOP92,-2.5043376290587442e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1600416023113437,1.0326106194220122,0.0,0.019765839856657662,1.23276463018501e-25,0.0,0.0,0.03363390539422687,0.0,0.0
OVAR_IGROV1,-7.30609794055368e-26,0.0,0.0,0.16469825448528025,0.0,0.0,0.0,1.8352809948224174e-25,0.27716311173517894,1.1158994959527349,0.0,0.0,0.0,0.0,0.0,0.02596516927145172,0.0,0.0
OVAR_OVCAR4,1.3512903494017553e-25,0.0,0.0,0.0,0.0,4.281384474168805e-25,0.06505836308081701,-6.2598250686954756e-27,0.20388180927278868,1.094979191043214,0.0,0.0,-7.317124684139095e-26,0.0,0.0,0.16118688969216743,0.0,0.0
OVAR_OVCAR5,1.5342850031836595e-26,0.0,0.0,0.0,-7.089239720661715e-25,0.0,0.0,0.0,0.2915318529002701,1.1254200367359892,0.9008571753896016,1.289138517550979e-25,1.9346101709871706e-24,0.0,0.0,0.46081806170364614,0.0,0.0
OVAR_SKOV3,0.0002583458652361242,0.0,0.0016116517733977041,0.005633273909348413,0.00577196666895206,0.015980296967636733,0.002452687804651587,0.00041741238561201897,0.05244204309733288,0.0005514945302751519,0.0384057593513977,0.023546847372856176,0.009225741228649562,0.00042026772573842004,0.0,0.040418065665476025,0.0,5.156864757486834e-05
PROSTATE_DU145,2.7820300848474e-26,0.0,0.015052141099000675,0.0,0.0,0.0069443839330654965,0.0,-1.3705829567960837e-24,0.3065206594845375,0.6989101131363943,0.018452033923720457,0.0,0.01300971819602971,0.0,0.0,0.2035606048049291,0.0,0.07681862467420662
PROSTATE_PC3,1.1109532281559757e-05,0.0,0.057378867930783256,0.039799612039372045,0.0,0.03402295355790682,0.006638065100432815,0.0013759559954976367,0.21659274571674544,0.0036595015235874407,0.054370122053106006,0.049102133686421336,0.020506169907643486,0.00019434448042478055,0.0,0.08025681537170831,0.0,0.00045618390911600267
RENAL_RXF393,1.50620440567792e-25,0.0,0.01949194934821067,0.10404599685881162,0.0,0.03870306203442944,0.006639433867411883,0.004916943805264011,0.16998710125003377,0.5923703960764348,0.09024512148575287,0.05720879989060094,0.021114372136630654,0.0004203936554852127,0.0,0.22794261742842675,0.0,0.5237265360565159
RENAL_TK10,0.0,1.079442397498987,0.001956844839378798,0.0,0.0,0.0013455252978257933,0.0,1.5795709368298447,0.03410288278975017,0.03175266194175557,0.22485229598203918,0.0,6.628304645997299e-25,0.0,0.0,0.00874570472867657,0.0,0.0
RENAL_UO31,-1.8487715998764347e-26,0.0,0.0,-9.656367176468603e-25,0.0,0.0,0.0,0.0,0.2865846244498987,0.7160851596961513,0.26300131784274133,0.0,0.0,0.0,0.0,0.07094978173929777,0.0,0.0
RKO,-7.210246078325455e-27,0.0,0.0,-8.875503792025658e-25,0.0,0.27573251533484133,0.006589879529766374,0.12245054228696826,0.0,0.08738308625172181,0.9689304368926401,0.00379086736764686,1.018349543156651,0.0,0.0,1.1916200871640785,0.0,0.0
U2OS,0.0040284217596853475,0.00498335233116813,0.221713502044497,0.014573291942194462,0.0,0.013091558937501687,0.03748493376708305,1.1483685486272788,0.0,0.20076909991330183,0.6024880499130316,0.020297538480965566,0.7408687909358541,0.0072261662777920324,5.9423296294537476e-06,1.417190801132343,0.0,0.0
